Class	Class Title	Enrolled	Wait Tot	Days & Times	Room	Class Dates
						11-Dec-20
CSE 1010-032L (4314)	Intro Computing for Engineers (Laboratory)	20		Th 10:00AM - 11:50AM	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-033L (4315)	Intro Computing for Engineers (Laboratory)	19		Th 12:00PM - 1:50PM	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-034L (4316)	Intro Computing for Engineers (Laboratory)	18		Th 12:00PM - 1:50PM	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-035L (4410)	Intro Computing for Engineers (Laboratory)	18		Th 6:30PM - 8:20PM	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-036L (4716)	Intro Computing for Engineers (Laboratory)	19		Th 12:00PM - 1:50PM	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-037L (4717)	Intro Computing for Engineers (Laboratory)	20		Th 4:30PM - 6:20PM	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-051L (5652)	Intro Computing for Engineers (Laboratory)	20		Tu 10:00AM - 11:50AM	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-052L (5653)	Intro Computing for Engineers (Laboratory)	20		Tu 1:00PM - 2:50PM	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-053L (5663)	Intro Computing for Engineers (Laboratory)	19		Tu 1:00PM - 2:50PM	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-054L (5664)	Intro Computing for Engineers (Laboratory)	18		Tu 10:00AM - 11:50AM	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-055L (5665)	Intro Computing for Engineers (Laboratory)	20		Tu 4:30PM - 6:20PM	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-056L (5666)	Intro Computing for Engineers (Laboratory)	20		Tu 6:30PM - 8:20PM	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-057L (5667)	Intro Computing for Engineers (Laboratory)	21		Tu 8:00AM - 9:50AM	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-061L (18722)	Intro Computing for Engineers (Laboratory)	15		Tu 10:00AM - 11:50AM	ITE 134	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-062L (18723)	Intro Computing for Engineers (Laboratory)	16		Tu 12:00PM - 1:50PM	ITE 134	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-063L (18724)	Intro Computing for Engineers (Laboratory)	15		Th 10:00AM - 11:50AM	ITE 134	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-064L (18725)	Intro Computing for Engineers (Laboratory)	16		Th 12:00PM - 1:50PM	ITE 134	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-H71 (16092)	Intro Computing for Engineers (Lecture)	53		TBA	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-H71L (16093)	Intro Computing for Engineers (Laboratory)	18		Mo 11:15AM - 1:05PM	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-H72L (16094)	Intro Computing for Engineers (Laboratory)	19		We 11:15AM - 1:05PM	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-H73L (16095)	Intro Computing for Engineers (Laboratory)	16		Fr 11:15AM - 1:05PM	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-N60 (11407)	Intro Computing for Engineers (Lecture)	38		TBA	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-N60L (11406)	Intro Computing for Engineers (Laboratory)	19		Mo 5:45PM - 7:45PM	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-N61L (15830)	Intro Computing for Engineers (Laboratory)	19		We 5:45PM - 7:45PM	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-W31 (12820)	Intro Computing for Engineers (Lecture)	58		TBA	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-W31L (12819)	Intro Computing for Engineers (Laboratory)	16		Mo 5:30PM - 7:20PM	WTBY 224	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-W32L (12832)	Intro Computing for Engineers (Laboratory)	14		Mo 7:30PM - 9:20PM	WTBY 224	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-W33L (14362)	Intro Computing for Engineers (Laboratory)	15		Th 7:30PM - 9:20PM	WTBY 224	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-W34L (17384)	Intro Computing for Engineers (Laboratory)	13		Th 5:30PM - 7:20PM	WTBY 224	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-Z81 (16325)	Intro Computing for Engineers (Lecture)	75		TBA	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-Z81L (11673)	Intro Computing for Engineers (Laboratory)	19		Mo 1:25PM - 3:25PM	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-Z82 (17128)	Intro Computing for Engineers (Lecture)	77		TBA	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-Z82L (11678)	Intro Computing for Engineers (Laboratory)	20		Mo 11:15AM - 1:15PM	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-Z83L (11755)	Intro Computing for Engineers (Laboratory)	18		We 1:25PM - 3:25PM	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-Z84L (11845)	Intro Computing for Engineers (Laboratory)	19		We 11:15AM - 1:15PM	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-Z85L (16319)	Intro Computing for Engineers (Laboratory)	20		Mo 4:25PM - 6:25PM	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-Z86L (16320)	Intro Computing for Engineers (Laboratory)	19		We 9:25AM - 11:25AM	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-Z87L (16321)	Intro Computing for Engineers (Laboratory)	18		Mo 9:25AM - 11:25AM	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
CSE 1010-Z88L (18822)	Intro Computing for Engineers (Laboratory)	19		Tu 12:30PM - 2:30PM	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
CSE 4099-018 (3131)	Indep Stdy in Comp Sci & Engin (Independent Study)	1		TBA	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
CSE 4939W-003 (11301)	CSE Design Project I (Laboratory)	5		MoWe 4:40PM - 5:55PM	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
CSE 5099-006 (2817)	Indep Study in Comp Sci Engr (Independent Study)	4		TBA	No Room Required - Online	"Aug 31, 2020-"
						11-Dec-20
GRAD 6950-1004 (19637)	Doctoral Dissertation Research (Dissertation Research)	1		TBA	TBA	"Aug 31, 2020-"
						11-Dec-20
